"athlete_id","local_date","local_date_dow","gmt_offset","gc_well_avg_daytime_stress","gc_well_avg_daytime_stress_3d_ema","gc_well_morning_stress","gc_well_midday_stress","gc_well_evn_stress","gc_well_10pm_stress","gc_well_evn_stress_3d_ema","gc_well_avg_daytime_hr","gc_well_avg_daytime_hr_3d_ema","gc_well_morning_hr","gc_well_midday_hr","gc_well_evn_hr","gc_well_evn_hr_3d_ema","gc_well_min_daytime_hr","gc_well_sleep_hr","wellness_resting_heart_rate","wellness_total_steps","wellness_moderate_intensity_minutes","wellness_vigorous_intensity_minutes","act_daily_activities","act_last_alt","act_last_alt_ema","act_last_long","act_last_lat","act_daily_suffer_score","act_evn_suffer_score","act_daily_elapsed_time","act_evn_elapsed_time","act_type_ride","act_type_run","act_type_swim","act_type_ski","act_pmc_atl","act_pmc_ctl","act_pmc_3d_ema","act_pmc_tsb","nutr_daily_calories","nutr_daily_carbohydrates","nutr_daily_protein","nutr_daily_fat","nutr_daily_fiber","nutr_daily_sugar","nutr_daily_fiber_3d_ema","nutr_daily_caffeine_3d_ema","nutr_daily_alcohol_3d_ema","nutr_daily_pretein_3d_ema","nutr_morning_calories","nutr_midday_calories","nutr_evn_calories","nutr_morning_carbohydrates","nutr_midday_carbohydrates","nutr_evn_carbohydrates","nutr_morning_protein","nutr_midday_protein","nutr_evn_protein","nutr_morning_fat","nutr_midday_fat","nutr_evn_fat","nutr_morning_fiber","nutr_midday_fiber","nutr_evn_fiber","nutr_morning_sugar","nutr_midday_sugar","nutr_evn_sugar","nutr_daily_caffeine","nutr_evn_caffeine","nutr_daily_alcohol","nutr_evn_alcohol","weather_min_temperature","weather_max_temperature","weather_avg_temperature","weather_avg_dew_point","weather_avg_humidity","weather_avg_precipitation","weather_avg_wind_direction","weather_avg_wind_speed","weather_avg_air_pressure","weather_stddev_air_pressure","body_water","weight_gm","body_mass_index","oura_sleep_rmssd_yest","oura_sleep_rmssd_3d_ema","oura_sleep_rmssd_7d_ema","oura_sleep_rmssd_42d_ema","oura_sleep_duration_yest","oura_sleep_awake_yest","oura_sleep_light_yest","oura_sleep_rem_yest","oura_sleep_deep_yest","oura_sleep_breath_average_yest","oura_sleep_temperature_deviation_yest","oura_sleep_rmssd","oura_sleep_morning_rmssd","oura_sleep_rmssd_class","oura_sleep_rmssd_baseline","oura_sleep_rmssd_dev","oura_sleep_dev_sign"
1,"2023-02-12",0,11,NULL,23.65,NULL,NULL,NULL,NULL,24.02,NULL,46.21,NULL,NULL,NULL,39.87,NULL,50.8,49,0,0,0,0,25.8,574.37,145.1123837940395,-38.048262409865856,0,0,0,0,"0","0","0","0",49.81,59.43,43.64,9.62,NULL,NULL,NULL,NULL,NULL,NULL,19.92,1.91,0.18,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,28.1,24.0,18.7,73.3,0.0,209.3,12.0,1000.6,0.38,70.2,67300,21.7,1,22.19,38.12,52.14,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL
1,"2023-02-11",6,11,41.8,35.47,39.2,45.1,39.8,41.9,36.02,72,69.31,88,66,63,59.81,42,48.9,46,4572,26,56,1,25.8,574.37,145.1123837940395,-38.048262409865856,83,0,7222,0,"Ride","0","0","0",58.11,60.88,65.46,2.77,1789,114,104,99,38,47,29.88,2.86,0.27,85.92,186,1603,0,21,93,0,17,87,0,4,95,0,2,36,0,18,29,0,3,0,0,0,17.0,28.1,24.0,18.7,73.3,0.0,209.3,12.0,1000.6,0.38,70.2,67300,21.7,53,33.28,44.47,53.41,30780,2940,15060,5010,7770,15.625,-0.01,NULL,NULL,NULL,NULL,NULL,NULL
1,"2023-02-10",5,11,35.3,32.32,25.3,34.2,43.2,25.2,34.11,72,67.94,63,86,67,58.36,42,49.8,47,9620,17,57,1,1645.6,665.75,146.45492915064096,-37.145835952833295,71,0,4315,0,"Ride","0","0","0",53.97,60.34,56.69,6.37,2767,339,88,111,33,181,25.81,2.79,0.4,76.88,897,482,1388,133,95,111,26,7,55,28,9,74,10,13,10,91,65,25,3,1,0,0,17.7,19.6,19.0,6.0,42.8,0.18,285.6,12.3,1006.6,0.8,70.2,67300,21.7,47,49.92,51.88,54.71,27060,2130,10080,5970,8880,15.625,0.04,53,57,"50",54.35592196997493,-2.4945248297396407,-1.0
1,"2023-02-09",4,11,30.4,30.83,25.2,30.6,34.2,30.9,29.58,69,65.99,79,64,64,54.22,42,51.9,47,20294,4,76,1,1644.2,502.52,146.45492487587035,-37.14575992897153,59,0,4690,0,"0","Run","0","0",51.13,60.08,49.54,8.95,2180,281,50,87,18,134,22.22,2.69,0.6,71.32,229,875,1076,45,126,110,5,23,22,4,30,53,5,8,5,30,67,37,2,0,1,1,7.9,12.3,9.4,7.3,87.0,0.0,64.0,10.6,1011.9,0.23,69.8,67930,21.9,34,48.38,51.69,54.76,26820,2970,13470,5070,5310,16.125,0.19,47,49,"50",54.350209381086245,-13.52379220758642,-1.0
1,"2023-02-08",3,11,41.3,31.06,26.3,44.7,38.9,47.6,27.3,73,64.45,112,67,66,49.12,44,48.4,42,19145,6,64,1,24.4,312.33,145.11243995279074,-38.048309767618775,37,0,3944,0,"0","Run","0","0",49.82,60.11,44.81,10.29,2031,228,82,79,17,64,24.33,3.03,0.4,81.98,182,718,1131,19,86,123,17,42,23,4,22,53,2,8,7,16,0,48,4,2,1,1,11.4,17.6,13.3,11.4,88.6,0.0,126.3,13.4,1017.2,0.61,69.8,67930,21.9,58,49.06,52.47,54.95,27360,3750,11670,4920,7020,15,0.01,34,36,"30",54.344496792197546,-37.43616740070447,-1.0
1,"2023-02-07",2,11,12.1,25.92,12.1,NULL,NULL,NULL,21.51,47,60.26,47,NULL,NULL,40.64,42,49.5,44,99,0,0,2,23.2,360.29,145.11205178685486,-38.048408422619104,62,0,6783,0,"0","Run","0","0",51.95,60.67,48.71,8.72,1166,94,77,47,31,41,28.0,2.54,0.1,81.97,389,777,0,52,42,0,18,59,0,9,38,0,8,23,0,24,17,0,3,1,0,0,14.5,20.9,18.0,12.4,70.5,0.0,184.2,21.8,1018.4,0.88,69.8,67930,21.9,56,56.6,55.55,55.46,27120,4290,15660,1980,5190,15,-0.04,58,59,"60",54.33878420330886,6.737758031156309,1
1,"2023-02-06",1,11,28.7,32.85,27.1,24.8,32.9,40.4,32.26,64,66.76,73,58,61,60.96,46,46.4,43,8721,40,15,1,33,416.45,145.1126697845757,-38.04811513982713,19,0,3387,0,"0","0","Swim","0",50.28,60.64,42.07,10.36,NULL,NULL,NULL,NULL,NULL,NULL,26.49,2.32,0.16,84.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,19.1,17.5,12.3,71.5,0.017,243.0,17.7,1017.5,0.26,69.7,68020,22,65,55.89,55.14,55.39,23760,1650,12570,4020,5520,15.25,0.03,56,57,"60",54.33307161442018,3.067981132024596,1
1,"2023-02-05",0,11,38.8,34.94,27.5,54.5,32.4,31.0,31.92,72,68.12,78,77,60,61.05,41,50.2,45,5773,51,49,1,-3.6,480.33,145.1126697845757,-38.04811513982713,49,0,6615,0,"Ride","0","0","0",55.49,61.66,53.61,6.17,2357,190,133,111,38,67,39.74,3.47,0.23,126.67,500,801,1056,57,16,117,33,51,49,13,56,42,8,22,8,29,15,23,4,1,0,0,15.6,19.1,17.5,12.3,71.5,0.017,243.0,17.7,1017.5,0.26,69.7,68020,22,57,55.84,55.0,55.38,27360,2640,12780,5040,6900,16,0.14,65,66,"70",54.32735902553148,19.645057602474008,1
1,"2023-02-04",6,11,38.1,33.0,22.8,56.1,35.1,42.3,31.71,64,66.37,57,73,62,61.61,40,46.8,43,6004,1,3,1,33,560.94,146.45483812317252,-37.14564660564065,63,0,4358,0,"VirtualRide","0","0","0",56.57,61.97,55.91,5.4,2729,145,136,161,52,48,40.61,3.21,0.35,123.5,189,1744,796,33,75,37,5,94,37,4,114,43,3,26,23,19,6,23,3,0,0,0,27.5,28.1,27.9,24.1,80.0,0.4,196.0,8.3,1005.7,0.97,69.5,68470,22.1,81,51.26,53.33,55.15,33420,2850,20790,4770,5010,15.375,-0.03,57,59,"60",54.321646436642794,4.930545627848489,1
1,"2023-02-03",5,11,29.7,30.45,38.2,25.3,28.8,23.9,30.01,68,67.47,85,59,59,61.22,41,47.2,45,17934,2,82,1,1606,648.89,146.45483812317252,-37.14564660564065,72,0,4973,0,"0","Run","0","0",55.5,61.94,52.37,6.44,2729,228,142,119,18,117,34.92,3.32,0.52,117.25,708,1315,706,97,107,24,17,78,47,28,57,34,11,6,1,69,36,12,4,1,0,0,-1.2,0.3,-0.4,-0.8,97.4,0.55,298.4,16.7,995.0,0.83,69.5,68470,22.1,1,48.39,52.72,55.1,1,1,1,1,1,1,1,81,80,"80",54.31593384775411,49.12751058840396,1
